Curr Rank,Prev Rank,Disease,Home Infusion,Outpatient Hospital,Physician Office,Pharmacy,Total
1,1,Cancer,"$ 1,153,157.39","$ 69,258,975.99","$ 46,108,454.81","$ 55,991,979.15","$ 172,512,567.34"
2,2,Psoriasis,"$ 346,917.30","$ 360,864.84","$ 1,181,257.85","$ 113,236,095.25","$ 115,125,135.24"
3,3,Crohn's Disease or Ulcerative Colitis ,"$ 6,461,631.95","$ 3,640,097.80","$ 11,658,175.52","$ 54,309,131.37","$ 76,069,036.64"
4,4,Rheumatoid Arthritis,"$ 105,211.86","$ 1,021,564.45","$ 4,182,510.81","$ 59,413,206.55","$ 64,722,493.67"
5,5,Other: Nervous System,"$ 3,580,735.42","$ 4,071,287.48","$ 19,472,349.08","$ 24,452,895.93","$ 51,577,267.91"
6,7,Unassigned Claims,$ 0.00,$ 0.00,$ 0.00,"$ 42,361,202.38","$ 42,361,202.38"
7,6,Other: Skin and Subcutaneous Tissue,"$ 145,689.60","$ 499,101.68","$ 1,768,908.13","$ 38,188,459.93","$ 40,602,159.34"
8,8,Other: Endocrine / Metabolic,"$ 3,274,096.96","$ 1,276,412.96","$ 3,169,373.99","$ 14,537,621.43","$ 22,257,505.34"
9,10,Cystic Fibrosis ,$ 383.68,$ 0.00,$ 870.40,"$ 18,742,875.94","$ 18,744,130.02"
10,9,Coagulation Defects ,"$ 6,817,970.02","$ 1,913,777.31","$ 1,851,336.32","$ 7,784,979.84","$ 18,368,063.48"
11,11,Immune Deficiency,"$ 4,534,480.25","$ 1,447,583.21","$ 4,719,692.64","$ 4,876,138.41","$ 15,577,894.51"
12,12,Ankylosing Spondylitis,$ 0.00,$ 0.00,"$ 230,658.30","$ 11,664,689.42","$ 11,895,347.72"
13,14,Asthma,"$ 745,573.72","$ 280,694.22","$ 2,986,669.41","$ 4,992,483.83","$ 9,005,421.18"
14,16,Hereditary Angioedema,$ 0.00,$ 0.00,$ 0.00,"$ 8,867,228.56","$ 8,867,228.56"
15,15,Other: Respiratory System,"$ 204,441.90","$ 120,859.55","$ 219,762.81","$ 6,065,406.30","$ 6,610,470.56"
16,13,Narcolepsy,$ 0.00,$ 0.00,$ 0.00,"$ 6,228,098.88","$ 6,228,098.88"
17,17,Fabry Disease,"$ 7,955.80",$ 0.00,$ 0.00,"$ 5,947,050.27","$ 5,955,006.07"
18,22,Gout,$ 0.00,$ 0.00,"$ 5,117,647.14","$ 51,252.06","$ 5,168,899.20"
19,38,Other: Digestive System,$ 0.00,"$ 494,172.18","$ 225,932.67","$ 3,889,672.70","$ 4,609,777.55"
20,19,Lupus Erythematosus,"$ 53,418.40","$ 107,688.23","$ 2,469,836.66","$ 1,809,421.55","$ 4,440,364.84"
21,21,Myasthenia Gravis,"$ 2,673,392.30","$ 236,192.12","$ 963,337.22","$ 129,656.20","$ 4,002,577.84"
22,18,Contraception,"$ 1,133.47","$ 51,857.32","$ 3,599,916.25","$ 204,441.27","$ 3,857,348.31"
23,30,Kidney or End-Stage Renal Disease,$ 0.00,"$ 3,226,732.30","$ 71,008.29",$ 0.00,"$ 3,297,740.59"
24,35,Other: Infectious and Parasitic Diseases,"$ 211,012.98","$ 362,559.51","$ 824,202.00","$ 1,726,624.17","$ 3,124,398.65"
25,24,Dermatomyositis and Polymyositis,"$ 2,636,836.80","$ 3,252.74","$ 222,991.16","$ 241,622.36","$ 3,104,703.06"
26,25,Osteoporosis,"$ 1,812.26","$ 531,277.22","$ 1,128,103.36","$ 1,202,057.18","$ 2,863,250.02"
27,27,Other: Miscellaneous,"$ 62,093.60","$ 867,398.91","$ 1,269,577.15","$ 655,249.76","$ 2,854,319.42"
28,20,"Other: Symptoms, Signs, Ill-Defined","$ 26,853.20","$ 329,129.74","$ 188,582.59","$ 2,282,546.31","$ 2,827,111.84"
29,28,Pulmonary Hypertension,"$ 16,139.78",$ 0.00,"$ 43,943.32","$ 2,748,122.92","$ 2,808,206.02"
30,23,Other: Sense Organs,$ 0.00,"$ 343,188.84","$ 635,707.48","$ 1,827,396.00","$ 2,806,292.32"
